Non-Matches,Recommended?
32975,"bad, no recommended words"
15416,"bad, no recommended words"
0,"bad, no recommended words"
js-comment-actions comment-actions,"good, recommended words[2, 3, 4, 5]"
comment-score js-comment-edit-hide,"good, recommended words[1, 2, 4, 5, 6]"
comment-text  js-comment-text-and-form,"good, recommended words[1, 2, 4, 5, 6, 7]"
comment-copy,"good, recommended words[1, 2]"
d-inline-flex ai-center,"good, recommended words[2, 3, 5]"
/users/15416/msalters,"good, recommended words[1]"
"168,055 reputation","good, recommended words[1]"
comment-user,"good, recommended words[1, 2]"
comment-date,"good, recommended words[1, 2]"
ltr,"bad, no recommended words"
"2008-09-25 09:50:45Z, License: CC BY-SA 2.5","bad, recommended words[2, 3, 4, 5]"
relativetime-clean,"good, recommended words[2]"
comment-32981,"good, recommended words[1]"
comment js-comment ,"good, recommended words[1, 3]"
32981,"bad, no recommended words"
5190,"bad, no recommended words"
0,"bad, no recommended words"
js-comment-actions comment-actions,"good, recommended words[2, 3, 4, 5]"
comment-score js-comment-edit-hide,"good, recommended words[1, 2, 4, 5, 6]"
comment-text  js-comment-text-and-form,"good, recommended words[1, 2, 4, 5, 6, 7]"
comment-copy,"good, recommended words[1, 2]"
d-inline-flex ai-center,"good, recommended words[2, 3, 5]"
/users/5190/vinko-vrsalovic,"good, recommended words[1]"
"253,874 reputation","good, recommended words[1]"
comment-user,"good, recommended words[1, 2]"
mod-flair ,"good, recommended words[1, 2]"
Moderator,"good, recommended words[1]"
comment-date,"good, recommended words[1, 2]"
ltr,"bad, no recommended words"
"2008-09-25 09:56:01Z, License: CC BY-SA 2.5","bad, recommended words[2, 3, 4, 5]"
relativetime-clean,"good, recommended words[2]"
comment-33013,"good, recommended words[1]"
comment js-comment ,"good, recommended words[1, 3]"
33013,"bad, no recommended words"
2827,"bad, no recommended words"
0,"bad, no recommended words"
js-comment-actions comment-actions,"good, recommended words[2, 3, 4, 5]"
comment-score js-comment-edit-hide,"good, recommended words[1, 2, 4, 5, 6]"
comment-text  js-comment-text-and-form,"good, recommended words[1, 2, 4, 5, 6, 7]"
comment-copy,"good, recommended words[1, 2]"
d-inline-flex ai-center,"good, recommended words[2, 3, 5]"
/users/2827/henryr,"good, recommended words[1]"
"7,779 reputation","good, recommended words[1]"
comment-user,"good, recommended words[1, 2]"
comment-date,"good, recommended words[1, 2]"
ltr,"bad, no recommended words"
"2008-09-25 10:11:28Z, License: CC BY-SA 2.5","bad, recommended words[2, 3, 4, 5]"
relativetime-clean,"good, recommended words[2]"
comment-114359,"good, recommended words[1]"
comment js-comment ,"good, recommended words[1, 3]"
114359,"bad, no recommended words"
15962,"bad, no recommended words"
0,"bad, no recommended words"
js-comment-actions comment-actions,"good, recommended words[2, 3, 4, 5]"
comment-score js-comment-edit-hide,"good, recommended words[1, 2, 4, 5, 6]"
comment-text  js-comment-text-and-form,"good, recommended words[1, 2, 4, 5, 6, 7]"
comment-copy,"good, recommended words[1, 2]"
d-inline-flex ai-center,"good, recommended words[2, 3, 5]"
/users/15962/squarecog,"good, recommended words[1]"
"19,091 reputation","good, recommended words[1]"
comment-user,"good, recommended words[1, 2]"
comment-date,"good, recommended words[1, 2]"
ltr,"bad, no recommended words"
"2008-10-31 22:34:51Z, License: CC BY-SA 2.5","bad, recommended words[2, 3, 4, 5]"
relativetime-clean,"good, recommended words[2]"
comments-link-132375,"good, recommended words[1, 2]"
50,"bad, no recommended words"
true,"good, recommended words[1]"
Use comments to ask for more information or suggest improvements. Avoid comments like “+1” or “thanks”.,"good, recommended words[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]"
#,"bad, no recommended words"
js-link-separator dno,"good, recommended words[2, 3]"
js-show-link comments-link dno,"good, recommended words[2, 3, 4, 5]"
Expand to show all comments on this post,"good, recommended words[1, 2, 3, 4, 5, 6, 7, 8]"
#,"bad, no recommended words"
,"bad, no recommended words"
132386,"bad, no recommended words"
answer-132386,"bad, recommended words[1]"
answer js-answer,"good, recommended words[1, 3]"
132386,"bad, no recommended words"
132359,"bad, no recommended words"
0,"bad, no recommended words"
18,"bad, no recommended words"
0,"bad, no recommended words"
0,"bad, no recommended words"
suggestedAnswer,"good, no recommended words"
None,"good, recommended words[1]"
https://schema.org/Answer,"bad, recommended words[2, 3, 4]"
post-layout,"good, recommended words[1, 2]"
votecell post-layout--left,"good, recommended words[2, 3, 4]"
132386,"bad, no recommended words"
upvoteCount,"good, no recommended words"
0,"bad, no recommended words"
fs-caption,"good, recommended words[2]"
js-accepted-answer-indicator flex--item fc-green-500 py6 mtn8 d-none,"good, recommended words[2, 3, 4, 5, 6, 8, 12]"
right,"good, recommended words[1]"
Loading when this answer was accepted…,"good, recommended words[1, 2, 3, 4, 5, 6]"
0,"bad, no recommended words"
note,"good, recommended words[1]"
Accepted,"good, recommended words[1]"
ta-center,"good, recommended words[1, 2]"
true,"good, recommended words[1]"
svg-icon iconCheckmarkLg,"good, recommended words[2]"
36,"bad, no recommended words"
36,"bad, no recommended words"
0 0 36 36,"bad, no recommended words"
m6 14 8 8L30 6v8L14 30l-8-8v-8Z,"bad, no recommended words"
/posts/132386/timeline,"good, recommended words[1, 2]"
T,"bad, no recommended words"
timeline,"good, recommended words[1]"
s-tooltip,"good, no recommended words"
right,"good, recommended words[1]"
Show activity on this post.,"good, recommended words[1, 2, 3, 4, 5]"
Timeline,"good, recommended words[1]"
true,"good, recommended words[1]"
mln2 mr0 svg-icon iconHistory,"good, recommended words[4]"
19,"bad, no recommended words"
18,"bad, no recommended words"
0 0 19 18,"bad, no recommended words"
M3 9a8 8 0 1 1 3.73 6.77L8.2 14.3A6 6 0 1 0 5 9l3.01-.01-4 4-4-4h3L3 9Zm7-4h1.01L11 9.36l3.22 2.1-.6.93L10 10V5Z,"bad, no recommended words"
answercell post-layout--right,"good, recommended words[2, 3, 4]"
text,"good, recommended words[1]"
http://hadoop.apache.org/core/,"good, recommended words[4, 5]"
nofollow noreferrer,"good, no recommended words"
nofollow noreferrer,"good, no recommended words"
mt24,"bad, recommended words[1]"
d-flex fw-wrap ai-start jc-end gs8 gsy,"bad, recommended words[2, 4, 6, 8, 9]"
dateCreated,"good, no recommended words"
2008-09-25T09:50:25,"bad, no recommended words"
flex--item mr16,"good, recommended words[1, 2]"
flex: 1 1 100px;,"bad, recommended words[1]"
js-post-menu pt2,"good, recommended words[2, 3, 4]"
132386,"bad, no recommended words"
d-flex gs8 s-anchors s-anchors__muted fw-wrap,"good, recommended words[2, 3, 5, 7, 8, 10]"
flex--item,"good, recommended words[1, 2]"
/a/132386,"bad, no recommended words"
nofollow,"good, no recommended words"
url,"good, no recommended words"
js-share-link js-gps-track,"good, recommended words[2, 3, 6]"
Short permalink to this answer,"good, recommended words[1, 3, 4, 5]"
"post.click({ item: 2, priv: 0, post_type: 2 })","good, recommended words[1, 2, 3, 5, 6]"
se-share-sheet,"good, recommended words[2, 3]"
Share a link to this answer,"good, recommended words[1, 3, 4, 5, 6]"
,"bad, no recommended words"
answer,"good, recommended words[1]"
2,"bad, no recommended words"
CC BY-SA 2.5,"good, recommended words[1, 2, 3]"
js-menu-popup-container,"good, recommended words[2, 3, 4]"
post-signature flex--item fl0,"good, recommended words[1, 2, 3, 4, 5]"
user-info ,"good, recommended words[1, 2]"
user-action-time,"good, recommended words[1, 2, 3]"
2008-09-25 09:50:25Z,"bad, no recommended words"
relativetime,"good, no recommended words"
user-gravatar32,"good, recommended words[1]"
/users/15780/yann-kmm,"good, recommended words[1]"
gravatar-wrapper-32,"good, recommended words[2]"
user avatar,"good, recommended words[1, 2]"
32,"bad, no recommended words"
32,"bad, no recommended words"
user-details,"good, recommended words[1, 2]"
author,"good, recommended words[1]"
None,"good, recommended words[1]"
http://schema.org/Person,"good, recommended words[2, 3, 4]"
/users/15780/yann-kmm,"good, recommended words[1]"
d-none,"good, recommended words[2]"
name,"good, recommended words[1]"
-flair,"good, recommended words[1]"
reputation-score,"good, recommended words[1, 2]"
reputation score ,"good, recommended words[1, 2]"
ltr,"bad, no recommended words"
true,"good, recommended words[1]"
true,"good, recommended words[1]"
d-none,"good, recommended words[2]"
commentCount,"good, no recommended words"
post-layout--right js-post-comments-component,"good, recommended words[1, 2, 3, 5, 6, 7]"
comments-132386,"good, recommended words[1]"
132386,"bad, no recommended words"
15,"bad, no recommended words"
comments-list js-comments-list,"good, recommended words[1, 2, 4, 5]"
0,"bad, no recommended words"
false,"good, recommended words[1]"
true,"good, recommended words[1]"
false,"good, recommended words[1]"
true,"good, recommended words[1]"
comment-114344,"good, recommended words[1]"
comment js-comment ,"good, recommended words[1, 3]"
114344,"bad, no recommended words"
15962,"bad, no recommended words"
0,"bad, no recommended words"
js-comment-actions comment-actions,"good, recommended words[2, 3, 4, 5]"
comment-score js-comment-edit-hide,"good, recommended words[1, 2, 4, 5, 6]"
comment-text  js-comment-text-and-form,"good, recommended words[1, 2, 4, 5, 6, 7]"
comment-copy,"good, recommended words[1, 2]"
d-inline-flex ai-center,"good, recommended words[2, 3, 5]"
/users/15962/squarecog,"good, recommended words[1]"
"19,091 reputation","good, recommended words[1]"
comment-user,"good, recommended words[1, 2]"
comment-date,"good, recommended words[1, 2]"
ltr,"bad, no recommended words"
"2008-10-31 22:22:54Z, License: CC BY-SA 2.5","bad, recommended words[2, 3, 4, 5]"
relativetime-clean,"good, recommended words[2]"
comments-link-132386,"good, recommended words[1, 2]"
50,"bad, no recommended words"
true,"good, recommended words[1]"
Use comments to ask for more information or suggest improvements. Avoid comments like “+1” or “thanks”.,"good, recommended words[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]"
#,"bad, no recommended words"
js-link-separator dno,"good, recommended words[2, 3]"
js-show-link comments-link dno,"good, recommended words[2, 3, 4, 5]"
Expand to show all comments on this post,"good, recommended words[1, 2, 3, 4, 5, 6, 7, 8]"
#,"bad, no recommended words"
,"bad, no recommended words"
134522,"bad, no recommended words"
answer-134522,"bad, recommended words[1]"
answer js-answer,"good, recommended words[1, 3]"
134522,"bad, no recommended words"
132359,"bad, no recommended words"
0,"bad, no recommended words"
19,"bad, no recommended words"
0,"bad, no recommended words"
0,"bad, no recommended words"
suggestedAnswer,"good, no recommended words"
None,"good, recommended words[1]"
https://schema.org/Answer,"bad, recommended words[2, 3, 4]"
post-layout,"good, recommended words[1, 2]"
votecell post-layout--left,"good, recommended words[2, 3, 4]"
134522,"bad, no recommended words"
upvoteCount,"good, no recommended words"
0,"bad, no recommended words"
fs-caption,"good, recommended words[2]"
js-accepted-answer-indicator flex--item fc-green-500 py6 mtn8 d-none,"good, recommended words[2, 3, 4, 5, 6, 8, 12]"
right,"good, recommended words[1]"
Loading when this answer was accepted…,"good, recommended words[1, 2, 3, 4, 5, 6]"
0,"bad, no recommended words"
note,"good, recommended words[1]"
Accepted,"good, recommended words[1]"
ta-center,"good, recommended words[1, 2]"
true,"good, recommended words[1]"
svg-icon iconCheckmarkLg,"good, recommended words[2]"
36,"bad, no recommended words"
36,"bad, no recommended words"
0 0 36 36,"bad, no recommended words"
m6 14 8 8L30 6v8L14 30l-8-8v-8Z,"bad, no recommended words"
/posts/134522/timeline,"good, recommended words[1, 2]"
T,"bad, no recommended words"
timeline,"good, recommended words[1]"
s-tooltip,"good, no recommended words"
right,"good, recommended words[1]"
Show activity on this post.,"good, recommended words[1, 2, 3, 4, 5]"
Timeline,"good, recommended words[1]"
true,"good, recommended words[1]"
mln2 mr0 svg-icon iconHistory,"good, recommended words[4]"
19,"bad, no recommended words"
18,"bad, no recommended words"
0 0 19 18,"bad, no recommended words"
M3 9a8 8 0 1 1 3.73 6.77L8.2 14.3A6 6 0 1 0 5 9l3.01-.01-4 4-4-4h3L3 9Zm7-4h1.01L11 9.36l3.22 2.1-.6.93L10 10V5Z,"bad, no recommended words"
answercell post-layout--right,"good, recommended words[2, 3, 4]"
text,"good, recommended words[1]"
mt24,"bad, recommended words[1]"
d-flex fw-wrap ai-start jc-end gs8 gsy,"bad, recommended words[2, 4, 6, 8, 9]"
dateCreated,"good, no recommended words"
2008-09-25T16:57:55,"bad, no recommended words"
flex--item mr16,"good, recommended words[1, 2]"
flex: 1 1 100px;,"bad, recommended words[1]"
js-post-menu pt2,"good, recommended words[2, 3, 4]"
134522,"bad, no recommended words"
d-flex gs8 s-anchors s-anchors__muted fw-wrap,"good, recommended words[2, 3, 5, 7, 8, 10]"
flex--item,"good, recommended words[1, 2]"
/a/134522,"bad, no recommended words"
nofollow,"good, no recommended words"
url,"good, no recommended words"
js-share-link js-gps-track,"good, recommended words[2, 3, 6]"
Short permalink to this answer,"good, recommended words[1, 3, 4, 5]"
"post.click({ item: 2, priv: 0, post_type: 2 })","good, recommended words[1, 2, 3, 5, 6]"
se-share-sheet,"good, recommended words[2, 3]"
Share a link to this answer,"good, recommended words[1, 3, 4, 5, 6]"
,"bad, no recommended words"
answer,"good, recommended words[1]"
2,"bad, no recommended words"
CC BY-SA 2.5,"good, recommended words[1, 2, 3]"
js-menu-popup-container,"good, recommended words[2, 3, 4]"
post-signature flex--item fl0,"good, recommended words[1, 2, 3, 4, 5]"
user-info ,"good, recommended words[1, 2]"
user-action-time,"good, recommended words[1, 2, 3]"
2008-09-25 16:57:55Z,"bad, no recommended words"
relativetime,"good, no recommended words"
user-gravatar32,"good, recommended words[1]"
/users/17224/computinglife,"good, recommended words[1]"
gravatar-wrapper-32,"good, recommended words[2]"
user avatar,"good, recommended words[1, 2]"
32,"bad, no recommended words"
32,"bad, no recommended words"
user-details,"good, recommended words[1, 2]"
author,"good, recommended words[1]"
None,"good, recommended words[1]"
http://schema.org/Person,"good, recommended words[2, 3, 4]"
/users/17224/computinglife,"good, recommended words[1]"
d-none,"good, recommended words[2]"
name,"good, recommended words[1]"
-flair,"good, recommended words[1]"
reputation-score,"good, recommended words[1, 2]"
reputation score ,"good, recommended words[1, 2]"
ltr,"bad, no recommended words"
true,"good, recommended words[1]"
true,"good, recommended words[1]"
true,"good, recommended words[1]"
d-none,"good, recommended words[2]"
commentCount,"good, no recommended words"
post-layout--right js-post-comments-component,"good, recommended words[1, 2, 3, 5, 6, 7]"
comments-134522,"good, recommended words[1]"
134522,"bad, no recommended words"
15,"bad, no recommended words"
comments-list js-comments-list,"good, recommended words[1, 2, 4, 5]"
0,"bad, no recommended words"
false,"good, recommended words[1]"
true,"good, recommended words[1]"
false,"good, recommended words[1]"
true,"good, recommended words[1]"
comments-link-134522,"good, recommended words[1, 2]"
50,"bad, no recommended words"
true,"good, recommended words[1]"
Use comments to ask for more information or suggest improvements. Avoid comments like “+1” or “thanks”.,"good, recommended words[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]"
#,"bad, no recommended words"
js-link-separator dno,"good, recommended words[2, 3]"
js-show-link comments-link dno,"good, recommended words[2, 3, 4, 5]"
Expand to show all comments on this post,"good, recommended words[1, 2, 3, 4, 5, 6, 7, 8]"
#,"bad, no recommended words"
,"bad, no recommended words"
1,"bad, no recommended words"
/questions/tagged/performance,"good, recommended words[1, 2, 3]"
post-tag,"good, recommended words[1, 2]"
show questions tagged 'performance',"good, recommended words[1, 2, 3, 4]"
tag,"good, recommended words[1]"
/questions/tagged/algorithm,"good, recommended words[1, 2, 3]"
post-tag,"good, recommended words[1, 2]"
show questions tagged 'algorithm',"good, recommended words[1, 2, 3, 4]"
tag,"good, recommended words[1]"
/questions/ask,"good, recommended words[1, 2]"
show-votes,"good, recommended words[1, 2]"
complementary,"good, recommended words[1]"
flex--item1 fl-shrink0,"good, recommended words[1, 2, 3, 4]"
true,"good, recommended words[1]"
va-text-top svg-icon iconPencilSm,"good, recommended words[2, 3, 5]"
14,"bad, no recommended words"
14,"bad, no recommended words"
0 0 14 14,"bad, no recommended words"
m11.1 1.71 1.13 1.12c.2.2.2.51 0 .71L11.1 4.7 9.21 2.86l1.17-1.15c.2-.2.51-.2.71 0ZM2 10.12l6.37-6.43 1.88 1.88L3.88 12H2v-1.88Z,"bad, no recommended words"
js-gps-track,"good, recommended words[3]"
flex--item1 fl-shrink0,"good, recommended words[1, 2, 3, 4]"
true,"good, recommended words[1]"
va-text-top svg-icon iconPencilSm,"good, recommended words[2, 3, 5]"
14,"bad, no recommended words"
14,"bad, no recommended words"
0 0 14 14,"bad, no recommended words"
m11.1 1.71 1.13 1.12c.2.2.2.51 0 .71L11.1 4.7 9.21 2.86l1.17-1.15c.2-.2.51-.2.71 0ZM2 10.12l6.37-6.43 1.88 1.88L3.88 12H2v-1.88Z,"bad, no recommended words"
js-gps-track,"good, recommended words[3]"
flex--item1 fl-shrink0,"good, recommended words[1, 2, 3, 4]"
favicon favicon-stackexchangemeta,"good, no recommended words"
Meta Stack Exchange,"good, recommended words[1, 2, 3]"
https://meta.stackexchange.com/questions/379561/testing-new-traffic-management-tool,"bad, recommended words[2, 4, 5, 6, 7, 8, 9, 10]"
js-gps-track,"good, recommended words[3]"
flex--item1 fl-shrink0,"good, recommended words[1, 2, 3, 4]"
favicon favicon-stackexchangemeta,"good, no recommended words"
Meta Stack Exchange,"good, recommended words[1, 2, 3]"
js-gps-track,"good, recommended words[3]"
flex--item1 fl-shrink0,"good, recommended words[1, 2, 3, 4]"
favicon favicon-stackoverflowmeta,"good, no recommended words"
Meta Stack Overflow,"good, recommended words[1, 2, 3]"
https://meta.stackoverflow.com/questions/418767/trending-a-new-answer-sorting-option,"bad, recommended words[2, 4, 5, 6, 8, 9, 10, 11]"
js-gps-track,"good, recommended words[3]"
flex--item1 fl-shrink0,"good, recommended words[1, 2, 3, 4]"
favicon favicon-stackoverflowmeta,"good, no recommended words"
Meta Stack Overflow,"good, recommended words[1, 2, 3]"
https://meta.stackoverflow.com/questions/418491/ask-wizard-test-results-and-next-steps,"bad, recommended words[2, 4, 5, 6, 7, 8, 9, 10, 11, 12]"
js-gps-track,"good, recommended words[3]"
flex--item1 fl-shrink0,"good, recommended words[1, 2, 3, 4]"
favicon favicon-stackoverflowmeta,"good, no recommended words"
Meta Stack Overflow,"good, recommended words[1, 2, 3]"
js-gps-track,"good, recommended words[3]"
flex--item1 fl-shrink0,"good, recommended words[1, 2, 3, 4]"
favicon favicon-stackoverflowmeta,"good, no recommended words"
Meta Stack Overflow,"good, recommended words[1, 2, 3]"
js-gps-track,"good, recommended words[3]"
width: 300px,"bad, recommended words[1]"
width: 300px,"bad, recommended words[1]"
hireme,"good, no recommended words"
h-linked,"good, recommended words[2]"
linked,"good, recommended words[1]"
lq=1,"bad, no recommended words"
spacer js-gps-track,"good, recommended words[1, 4]"
"linkedquestion.click({ source_post_id: 132359, target_question_id: 1298860, position: 0 })","good, recommended words[2, 3, 4, 5, 6, 7, 8, 9]"
/q/1298860,"bad, no recommended words"
Question score (upvotes - downvotes),"good, recommended words[1, 2]"
answer-votes answered-accepted default,"good, recommended words[1, 2, 3, 4, 5]"
/questions/1298860/how-does-google-serve-results-so-fast?noredirect=1,"good, recommended words[1, 2, 3, 4, 5, 6, 7, 8]"
question-hyperlink,"good, recommended words[1, 2]"
spacer js-gps-track,"good, recommended words[1, 4]"
"linkedquestion.click({ source_post_id: 132359, target_question_id: 23973489, position: 1 })","good, recommended words[2, 3, 4, 5, 6, 7, 8, 9]"
/q/23973489,"bad, no recommended words"
Question score (upvotes - downvotes),"good, recommended words[1, 2]"
answer-votes  default,"good, recommended words[1, 2, 3]"
/questions/23973489/strategies-in-reducing-network-delay-from-500-milliseconds-to-60-100-millisecond?noredirect=1,"good, recommended words[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]"
question-hyperlink,"good, recommended words[1, 2]"
spacer js-gps-track,"good, recommended words[1, 4]"
"linkedquestion.click({ source_post_id: 132359, target_question_id: 34447970, position: 2 })","good, recommended words[2, 3, 4, 5, 6, 7, 8, 9]"
/q/34447970,"bad, no recommended words"
Question score (upvotes - downvotes),"good, recommended words[1, 2]"
answer-votes  default,"good, recommended words[1, 2, 3]"
question-hyperlink,"good, recommended words[1, 2]"
spacer js-gps-track,"good, recommended words[1, 4]"
"linkedquestion.click({ source_post_id: 132359, target_question_id: 11377435, position: 3 })","good, recommended words[2, 3, 4, 5, 6, 7, 8, 9]"
/q/11377435,"bad, no recommended words"
Question score (upvotes - downvotes),"good, recommended words[1, 2]"
answer-votes  default,"good, recommended words[1, 2, 3]"
/questions/11377435/how-does-map-reduce-work-for-searched-string?noredirect=1,"good, recommended words[1, 2, 3, 4, 5, 6, 7, 8, 9]"
question-hyperlink,"good, recommended words[1, 2]"
spacer js-gps-track,"good, recommended words[1, 4]"
"linkedquestion.click({ source_post_id: 132359, target_question_id: 6905393, position: 4 })","good, recommended words[2, 3, 4, 5, 6, 7, 8, 9]"
/q/6905393,"bad, no recommended words"
Question score (upvotes - downvotes),"good, recommended words[1, 2]"
answer-votes answered-accepted default,"good, recommended words[1, 2, 3, 4, 5]"
question-hyperlink,"good, recommended words[1, 2]"
spacer js-gps-track,"good, recommended words[1, 4]"
"linkedquestion.click({ source_post_id: 132359, target_question_id: 2400770, position: 5 })","good, recommended words[2, 3, 4, 5, 6, 7, 8, 9]"
/q/2400770,"bad, no recommended words"
Question score (upvotes - downvotes),"good, recommended words[1, 2]"
answer-votes  default,"good, recommended words[1, 2, 3]"
/questions/2400770/in-what-way-is-googles-index-stored?noredirect=1,"good, recommended words[1, 2, 3, 4, 5, 6, 7, 8]"
question-hyperlink,"good, recommended words[1, 2]"
h-related,"good, recommended words[2]"
related js-gps-related-questions,"good, recommended words[1, 4, 5]"
rq=1,"bad, no recommended words"
spacer,"good, recommended words[1]"
/q/126100,"bad, no recommended words"
Question score (upvotes - downvotes),"good, recommended words[1, 2]"
answer-votes answered-accepted extra-large,"good, recommended words[1, 2, 3, 4, 5, 6]"
question-hyperlink,"good, recommended words[1, 2]"
spacer,"good, recommended words[1]"
/q/237104,"bad, no recommended words"
Question score (upvotes - downvotes),"good, recommended words[1, 2]"
answer-votes answered-accepted extra-large,"good, recommended words[1, 2, 3, 4, 5, 6]"
/questions/237104/how-do-i-check-if-an-array-includes-a-value-in-javascript,"good, recommended words[1, 2, 3, 5, 6, 7, 8, 9, 11, 12]"
question-hyperlink,"good, recommended words[1, 2]"
spacer,"good, recommended words[1]"
/q/316265,"bad, no recommended words"
Question score (upvotes - downvotes),"good, recommended words[1, 2]"
answer-votes answered-accepted extra-large,"good, recommended words[1, 2, 3, 4, 5, 6]"
/questions/316265/how-can-you-speed-up-eclipse,"good, recommended words[1, 2, 3, 4, 5, 6, 7]"
question-hyperlink,"good, recommended words[1, 2]"
spacer,"good, recommended words[1]"
/q/582336,"bad, no recommended words"
Question score (upvotes - downvotes),"good, recommended words[1, 2]"
answer-votes answered-accepted extra-large,"good, recommended words[1, 2, 3, 4, 5, 6]"
/questions/582336/how-do-i-profile-a-python-script,"good, recommended words[1, 2, 3, 5, 7, 8]"
question-hyperlink,"good, recommended words[1, 2]"
spacer,"good, recommended words[1]"
/q/7370801,"bad, no recommended words"
Question score (upvotes - downvotes),"good, recommended words[1, 2]"
answer-votes extra-large,"good, recommended words[1, 2, 3, 4]"
/questions/7370801/how-do-i-measure-elapsed-time-in-python,"good, recommended words[1, 2, 3, 5, 6, 7, 8, 9]"
question-hyperlink,"good, recommended words[1, 2]"
spacer,"good, recommended words[1]"
/q/10168686,"bad, no recommended words"
Question score (upvotes - downvotes),"good, recommended words[1, 2]"
answer-votes answered-accepted extra-large,"good, recommended words[1, 2, 3, 4, 5, 6]"
/questions/10168686/image-processing-algorithm-improvement-for-coca-cola-can-recognition,"good, recommended words[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]"
question-hyperlink,"good, recommended words[1, 2]"
spacer,"good, recommended words[1]"
/q/14415881,"bad, no recommended words"
Question score (upvotes - downvotes),"good, recommended words[1, 2]"
answer-votes answered-accepted extra-large,"good, recommended words[1, 2, 3, 4, 5, 6]"
/questions/14415881/how-can-i-pair-socks-from-a-pile-efficiently,"good, recommended words[1, 2, 3, 5, 6, 7, 9, 10]"
question-hyperlink,"good, recommended words[1, 2]"
spacer,"good, recommended words[1]"
/q/30081275,"bad, no recommended words"
Question score (upvotes - downvotes),"good, recommended words[1, 2]"
answer-votes answered-accepted extra-large,"good, recommended words[1, 2, 3, 4, 5, 6]"
/questions/30081275/why-is-1000000000000000-in-range1000000000000001-so-fast-in-python-3,"bad, recommended words[1, 2, 3, 4, 5, 6, 7, 8, 9]"
question-hyperlink,"good, recommended words[1, 2]"
hot-network-questions,"good, recommended words[1, 2, 3]"
module tex2jax_ignore,"good, recommended words[1, 4]"
js-gps-track s-link s-link__inherit,"good, recommended words[3, 5, 7, 8]"
"posts_hot_network.click({ item_type:1, location:11 })","good, recommended words[1, 2, 3, 4, 5, 6, 7]"
favicon favicon-rpg,"good, no recommended words"
Role-playing Games Stack Exchange,"good, recommended words[1, 2, 3, 4, 5]"
"site.switch({ item_type:11, target_site:122 }); posts_hot_network.click({ item_type:2, location:11 })","good, recommended words[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]"
favicon favicon-puzzling,"good, recommended words[3]"
Puzzling Stack Exchange,"good, recommended words[1, 2, 3]"
"site.switch({ item_type:11, target_site:559 }); posts_hot_network.click({ item_type:2, location:11 })","good, recommended words[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]"
favicon favicon-politics,"good, recommended words[3]"
Politics Stack Exchange,"good, recommended words[1, 2, 3]"
"site.switch({ item_type:11, target_site:475 }); posts_hot_network.click({ item_type:2, location:11 })","good, recommended words[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]"
favicon favicon-chemistry,"good, recommended words[3]"
Chemistry Stack Exchange,"good, recommended words[1, 2, 3]"
"site.switch({ item_type:11, target_site:431 }); posts_hot_network.click({ item_type:2, location:11 })","good, recommended words[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]"
favicon favicon-space,"good, recommended words[3]"
Space Exploration Stack Exchange,"good, recommended words[1, 2, 3, 4]"
https://space.stackexchange.com/questions/59567/whats-the-typical-temperature-of-a-reactor-core-in-a-nuclear-thermal-rocket,"bad, recommended words[2, 4, 5, 6, 7, 8, 9, 10, 12, 13, 14, 16, 17, 18]"
"site.switch({ item_type:11, target_site:508 }); posts_hot_network.click({ item_type:2, location:11 })","good, recommended words[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]"
dno js-hidden,"good, recommended words[3]"
favicon favicon-rpg,"good, no recommended words"
Role-playing Games Stack Exchange,"good, recommended words[1, 2, 3, 4, 5]"
"site.switch({ item_type:11, target_site:122 }); posts_hot_network.click({ item_type:2, location:11 })","good, recommended words[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]"
dno js-hidden,"good, recommended words[3]"
favicon favicon-stats,"good, recommended words[3]"
Cross Validated,"good, recommended words[1, 2]"
https://stats.stackexchange.com/questions/580095/how-do-survival-models-account-for-censoring-do-they,"bad, recommended words[2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]"
"site.switch({ item_type:11, target_site:65 }); posts_hot_network.click({ item_type:2, location:11 })","good, recommended words[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]"
dno js-hidden,"good, recommended words[3]"
"site.switch({ item_type:11, target_site:579 }); posts_hot_network.click({ item_type:2, location:11 })","good, recommended words[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]"
dno js-hidden,"good, recommended words[3]"
"site.switch({ item_type:11, target_site:579 }); posts_hot_network.click({ item_type:2, location:11 })","good, recommended words[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]"
dno js-hidden,"good, recommended words[3]"
favicon favicon-politics,"good, recommended words[3]"
